Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
799,0,0,0,2,0,0,2
800,0,0,0,2,0,0,0
801,0,3,0,2,0,0,2
802,0,0,0,3,0,0,2
803,0,0,0,3,0,0,2
804,0,0,0,3,0,0,2
805,0,0,0,3,0,0,2
806,0,0,0,3,0,0,2
807,0,0,0,3,0,0,2
808,0,0,0,3,0,0,2
809,0,0,0,3,0,0,2
810,0,0,0,3,0,0,2
811,0,0,0,3,0,0,2
812,0,0,0,3,0,0,2
813,0,0,0,3,0,0,2
814,0,0,0,3,0,0,2
815,0,0,0,3,0,0,2
816,0,0,0,3,0,0,2
817,0,0,0,3,0,0,2
818,0,0,0,3,0,0,2
819,0,0,0,3,0,0,2
820,0,0,0,3,0,0,2
821,0,0,0,2,0,0,2
822,0,0,0,3,0,0,2
823,0,0,0,3,0,0,2
824,0,0,0,3,0,0,2
825,0,0,0,3,0,0,2
826,0,0,0,2,0,0,2
827,0,0,0,2,0,0,0
828,0,0,0,3,0,0,2
829,0,0,0,3,0,0,2
830,0,0,0,3,0,0,2
831,0,0,0,3,0,0,2
832,0,0,0,3,0,0,2
833,1,1,0,2,1,0,0
834,1,1,0,2,1,0,0
835,1,1,0,3,1,3,3
836,1,3,0,3,1,3,3
837,1,3,0,3,1,3,3
838,1,2,2,4,1,3,0
839,1,2,0,4,1,0,0
840,1,2,0,3,1,0,0
841,1,2,0,3,1,3,3
842,1,0,2,2,1,3,0
843,1,0,2,2,0,3,0
844,1,0,2,2,0,3,0
845,1,0,2,2,0,3,0
846,1,0,2,2,0,3,0
847,1,0,2,2,0,3,0
848,1,0,2,2,0,3,0
849,1,0,2,2,0,3,0
